TransactionID,SaleDate,CustomerID,ProductName,Quantity,UnitPrice,TotalAmount,SalesPerson,Region
TXN0001,2026-07-09,CUST018,Wireless Mouse,1,399.00,399.00,Sarah Jacobs,Western Cape
TXN0002,2026-06-23,CUST035,Keyboard,2,699.00,1398.00,Thabo Nkosi,Free State
TXN0003,2026-01-08,CUST006,Webcam,1,899.00,899.00,Sarah Jacobs,Western Cape
TXN0004,2026-05-24,CUST013,Office Chair,1,3499.00,3499.00,Johan Botha,Eastern Cape
TXN0005,2026-05-31,CUST018,24-inch Monitor,8,3299.00,26392.00,Thabo Nkosi,Western Cape
TXN0006,2026-03-13,CUST010,Webcam,6,899.00,5394.00,Sarah Jacobs,KwaZulu-Natal
TXN0007,2026-04-08,CUST007,Wireless Mouse,2,399.00,798.00,Michael Naidoo,KwaZulu-Natal
TXN0008,2026-07-26,CUST003,Printer,5,2799.00,13995.00,Lerato Molefe,Free State
TXN0009,2026-01-21,CUST036,Wireless Mouse,7,399.00,2793.00,Michael Naidoo,Free State
TXN0010,2026-06-30,CUST005,External SSD 1TB,4,1799.00,7196.00,Thabo Nkosi,Western Cape
TXN0011,2026-08-07,CUST015,USB-C Dock,2,1899.00,3798.00,Thabo Nkosi,Eastern Cape
TXN0012,2026-06-12,CUST024,USB-C Dock,8,1899.00,15192.00,Sarah Jacobs,KwaZulu-Natal
TXN0013,2026-06-21,CUST018,External SSD 1TB,4,1799.00,7196.00,Thabo Nkosi,Free State
TXN0014,2026-02-11,CUST030,Keyboard,4,699.00,2796.00,Lerato Molefe,KwaZulu-Natal
TXN0015,2026-06-25,CUST021,Office Chair,4,3499.00,13996.00,Thabo Nkosi,Western Cape
TXN0016,2026-04-13,CUST018,Laptop,6,14999.00,89994.00,Thabo Nkosi,Western Cape
TXN0017,2026-02-24,CUST032,Printer,6,2799.00,16794.00,Lerato Molefe,Eastern Cape
TXN0018,2026-02-05,CUST016,Keyboard,5,699.00,3495.00,Johan Botha,Free State
TXN0019,2026-08-18,CUST038,USB-C Dock,7,1899.00,13293.00,Lerato Molefe,KwaZulu-Natal
TXN0020,2026-05-11,CUST032,24-inch Monitor,3,3299.00,9897.00,Thabo Nkosi,Gauteng
TXN0021,2026-06-10,CUST011,Wireless Mouse,3,399.00,1197.00,Lerato Molefe,Free State
TXN0022,2026-04-08,CUST039,Wireless Mouse,7,399.00,2793.00,Lerato Molefe,Free State
TXN0023,2026-06-24,CUST008,USB-C Dock,1,1899.00,1899.00,Johan Botha,KwaZulu-Natal
TXN0024,2026-03-17,CUST028,External SSD 1TB,2,1799.00,3598.00,Sarah Jacobs,Eastern Cape
TXN0025,2026-09-06,CUST033,Laptop,5,14999.00,74995.00,Sarah Jacobs,Free State
TXN0026,2026-08-04,CUST033,Wireless Mouse,5,399.00,1995.00,Johan Botha,Western Cape
TXN0027,2026-07-15,CUST011,Keyboard,6,699.00,4194.00,Johan Botha,Free State
TXN0028,2026-05-06,CUST002,Laptop,6,14999.00,89994.00,Thabo Nkosi,KwaZulu-Natal
